company_name,pt_seafood_database_id,country_hq,main_segment,seg_feed,seg_fishing,seg_aquaculture,seg_processing,seg_wholesale,seg_retail,seg_foodservice,description,website,species_disclosure,revenue_usd_mn,market_cap_usd_mn,ebit_margin,return_on_equity,sustainability_assessment_cat1_transparency_score,sustainability_assessment_cat2_ocean_health_score,sustainability_assessment_cat3_management_governance_score,sustainability_assessment_cat4_fishing_practices_score,sustainability_assessment_cat5_compliance_enforcement_score,sustainability_assessment_cat6_stock_sustainability_score,reporting_precision,n_distinct_countries,n_distinct_species,species_clean,regions,enterprise_value_usd_mn,net_debt_ebitda
IMURAYA GROUP CORP LIMITED,ID_108,Japan,Processing,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Imuraya Group Corporation Limited is a Japanese food manufacturer and marketer offering a diverse range of products including confectionery, processed foods, ice cream, and traditional Japanese items under brands like Imuraya, Yawamochi, and Ni-Azuki. The company is also involved in food service, property management, and real-estate leasing, with operations in Japan, China, the US, and Malaysia.",https://www.imuraya-group.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,318.5819682,145.8584962,5.261073699,9.741474821,1,1,1,1,1,1,0.7103820568306888,4,6,"Kelp, Sardines, Scallops, Short-Necked Clam, Skipjack, Skipjack Tuna",China; Japan; Malaysia; Us,242.20685541321348,0.7784675232447886
INDUSTRIAL PESQUERA SANTA PRISCILA,ID_109,Ecuador,Aquaculture,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Industrial Pesquera Santa Priscila is a fishing enterprise specializing in high-quality fish products sourced from ecologically rich waters.,https://santa-priscila.com/,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,2,2,0,2,2,0.35727474022102373,5,5,"Cichlidae, Oreochromis Niloticus, Shrimp, Tilapia","China, Usa, Europe (Including Spain, France, Italy), And Other Parts Of Asia (Including Vietnam And Japan); China, Usa, Europe, And Other Parts Of Asia; Ecuador; Ecuador (Provinces Of Guayas, Chanduy, And Santa Elena); Peru",,
ATLANTIC SAPPHIRE ASA,ID_11,Norway,Aquaculture,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"Atlantic Sapphire is a land-based aquaculture company specializing in farming salmon using Recirculating Aquaculture Systems (RAS) for distribution in Denmark, the US, and other international markets.",https://atlanticsapphire.com,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,22.819,56.23608828,,-68.86034586,2,3,3,0,2,3,,0,1,Atlantic Salmon,,49.0108909425967,-0.42578149451044706
SAO MAI GROUP CORPORATION,ID_110,Viet Nam,Processing,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"IDI International Development & Investment Corp. is a diversified corporation primarily engaged in farming, processing, and exporting frozen aquatic products, notably Frozen Pangasius. The company also maintains interests in real estate, construction, tourism, and various civil, industrial, traffic, and irrigation construction projects.",https://www.idiseafood.com,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,295.3365244,40.46882755,4.030429329,1.845171911,1,1,1,0,1,0,0.9261274210388115,7,3,"Pangasius Catfish, Pangasius Hypophthalmus",Brazil; China; Egypt; European Union; Mexico; United States; Vietnam,180.93718081505548,5.508688880557859
ITOCHU,ID_111,Japan,Wholesale/Distribution,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"Itochu is a diversified Japanese trading company involved in the global import and export of a wide range of products including textiles, machinery, metals, minerals, energy, chemicals, and food, alongside operations in information technology and finance.",https://www.itochu.co.jp,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,97054.62876,46192.13839,5.072228994,15.38672583,2,2,3,1,2,2,0.34949554916908454,4,9,"Amberjack, Puffer Fish, Red Sea Bream, Salmon, Striped Horse Mackerel, Thunnus Albacares, Trout, Tuna, Yellowtail","Fao Area 71 (Pacific, Western Central); Global; Indonesia; Japan",90611.4244864647,3.197412580174402
J & J DENHOLM LTD,ID_112,United Kingdom,Processing,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"This company is a diversified operation encompassing Shipping, Logistics, Seafoods, and Industrial Services. Its seafood segment is focused on processing pelagic fish such as mackerel, herring, and herring roe.",http://denholm-industrial.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,2,2,3,1,2,3,0.7748760546048639,3,10,"Clupea Harengus, Fish, Herring, Mackerel, Micromesistius Poutassou, Pelagic Fish, Scomber Scombrus","North East Atlantic (Deep Waters To The West And North Of Scotland); North East Atlantic (North Sea East Of The Shetland Isles And Waters West Of Scotland); North East Atlantic (Uk Waters North-East Of Shetland, And West Of Orkney And Lewis)",,-1.5470123677544332
JAPFA COMFEED,ID_113,Indonesia,Feed,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"The company is vertically integrated in the aquaculture industry, involved in the production of feed, breeding, harvesting, processing, exporting, and selling various aquatic species including shrimp, tilapia, eel, catfish, and prawn.",japfacomfeed.co.id,Planet Tracker found species disclosure for part of the seafood portfolio of this company,3521.696265,612.8260726,9.132319934,20.93011725,1,1,2,0,2,1,0.36741479737892974,5,6,"Catfish, Cichlidae, Oreochromis Niloticus, Prawn, Shrimp, Tilapia","Banyuwangi And Situbondo (East Java), Indonesia; Lake Toba, Indonesia; Medan And Cirebon, Indonesia; Pidie Jaya (Aceh), Bangka Belitung Canti (Lampung), Anyer (Banten), Indramayu (West Java), Rembang (Central Java), Banyuwangi (East Java), Singaraja (Bali), Negara (Bali), Sumbawa (Ntb), Barru (South Sulawesi), Indonesia; United States, Canada, Japan, Taiwan, Malaysia, Thailand, Philippines, Brunei, Singapore, Italy",2053.01482497297,1.4730456613549041
JINGHAI GROUP CO LTD,ID_114,China,Fishing,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Jinghai Group Co., Ltd is a state-owned enterprise in Rongcheng City, China, involved in diversified activities including fishing, fishing port trade, deep seafood processing, ship repair services, mariculture, and coastal tourism.",http://en.jinghaijituan.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,1,1,1,1,1,0.36102652850725525,7,25,"Bigeye Tuna, Bonito, Cod, Hairtail, Katsuwonus, Mussel, Mytilidae, Ostreidae, Oysters, Pectinidae, Pomfret, Rice Fish, Sardines, Scallops, Scombridae, Sea Cucumber, Shell Fish, Shellfish, Shrimp, Squid, Yellowfin Tuna","Indian Ocean; North Pacific Ocean; Pacific Ocean; Pacific Ocean, Indian Ocean; Rongcheng, China; Southeast Pacific Ocean; Southwest Atlantic Ocean",,
JINZAI FOOD,ID_115,China,Processing,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Jinzai Food Group Co., Ltd. is a modern food enterprise involved in the research, production, and sale of aquatic products, poultry, and vegetarian meat. Its operations are vertically integrated across fishing, processing, retail, and wholesale/distribution.",https://www.jinzaifood.com.cn,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,335.0062725,339.5011248,12.65423853,21.35475766,1,1,2,0,1,1,0.088,3,2,"Anchovy, Engraulidae",China; Kenya; Southeast Asia,754.8319163294908,-1.9886363899655117
KABUSHIKI USUFUKU HONTEN,ID_116,Japan,Fishing,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"Kabushiki Usufuku Honten is a long-established fishing company (founded 1882) that historically managed various vessel types, including short-sea vessels, deep-sea bonito boats, and northern barges, with a current focus on tuna fishing.",https://usufuku.jp,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,,,,,1,2,3,2,3,3,0.7511308363614159,5,3,"Atlantic Bluefin Tuna, Pelagic Tuna, Thunnus Thynnus",East Atlantic Ocean; Japan (Nationwide Distribution And At Matsushima Sakana Ichiba); North Atlantic Ocean (Specifically Off The Coast Of Ireland); South Africa (Operating Base); Spain (Canary Islands Operating Base),,
KAIHAN,ID_117,Japan,Foodservice,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"Kaihan operates in renewable energy and food sectors, with its food segment focusing on running a chain of pubs and restaurants specializing in seafood and Japanese cuisine.",,Planet Tracker did not find sufficient species disclosure for the seafood portfolio of this company,16.13814396,180.6534289,-24.05243881,-120.6405453,1,1,1,1,1,1,,1,0,,Japan,370.3104434453492,-2.4022675015899417
KAKIYASU HONTEN,ID_118,Japan,Retail,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,"Kakiyasu Honten is a Japanese food company specializing in meat, seafood, vegetables, and prepared foods such as sushi and bento boxes.",https://www.kakiyasuhonten.co.jp,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,244.7836944,115.6769159,5.940300119,8.077544426,1,2,2,1,1,1,0.152499180325666,1,1,Oysters,Japan,119.69510413492307,-3.8969298245614037
KANEDAI CO LTD,ID_119,Japan,Wholesale/Distribution,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"Kanedai Co., Ltd. is a Japan-based company with four key divisions: marine foods, fisheries, shipping, and general energy. It also conducts import operations.",http://www.kanedai-kesennuma.co.jp,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,1,1,1,1,1,0.5979518473631468,6,17,"Albacore Tuna, Bonito, Chaceon Maritae, Crab, Mackerel, Pacific Saury, Scallops, Shellfish, Shrimp, Skipjack Tuna, Squid, Swordfish, Thunnus Alalunga, Thunnus Albacares, Thunnus Maccoyii, Thunnus Obesus","China; Indian Ocean; Kesennuma, Japan; Namibian Waters, Africa; United States, China (Hong Kong), Asean (Singapore, Etc.), Europe, Middle East (Saudi Arabia, Qatar, Etc.); Vietnam",,
AUSTEVOLL SEAFOOD ASA,ID_12,Norway,Integrated,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"Austevoll Seafood ASA is a parent company for five fishing enterprises in Norway and Chile, involved in the full spectrum of fishing, farming, processing, and distribution of seafood.",http://www.auss.no,Planet Tracker found species disclosure for part of the seafood portfolio of this company,3288.453431,712.845693,10.54402525,17.23087362,2,2,3,1,1,3,0.7820799191898485,6,17,"Chionoecetes Opilio, Engraulis Ringens, Finfish, Gadus Morhua, Melanogrammus Aeglefinus, Micromesistius Poutassou, Oncorhynchus Mykiss, Pelagic Fish, Pollachius Virens, Salmo Salar, Salmon, Sebastes, Snow Crab, Trachurus Murphyi, Trout, Whitefish",Chile; Denmark; Ireland; Norway; Peru; Uk,3744.74630412905,1.6675030343886101
KANGAMIUT GROUP,ID_120,Denmark,Wholesale/Distribution,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Kangamiut Seafood A/S is a Denmark-based company specializing in the trading of frozen fish and seafood.,http://www.kangamiut.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,2,2,3,1,2,2,0.708101233682727,1,14,"Atlantic Cod, Atlantic Haddock, Crab, Fish, Gadus Morhua, Greenland Halibut, Melanogrammus Aeglefinus, Mollusc, Pelagic Fish, Pike Perch, Prawn, Redfish, Sander Lucioperca, Scallop",Denmark,,8.435109987629753
KIEN HUNG JOINT STOCK COMPANY VN (KIHUSEA VN),ID_121,Viet Nam,Processing,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kien Hung is a Vietnam-based company focused on processing and exporting aquatic products. The company handles raw material import, processing, and domestic and international sales of frozen seafood and fishmeal, including squid, sea fish, freshwater fish, crabs, oysters, snails, and cuttlefish.",http://www.kihuseavn.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,27.21007191,,7.57626888,11.53463536,1,1,2,1,1,1,0.06929826837663405,1,8,"Bream, Crabs, Oysters, Shellfish, Shrimp, Snail, Squid",Vietnam,13.981352189214128,2.1709407829152765
KONGPHOP FROZEN FOODS CO LTD,ID_122,Thailand,Processing,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"Kongphop Frozen Foods Co., Ltd. (KPF), established in Thailand in 1991, processes and exports a variety of frozen seafood products globally, including Vannamei, Black Tiger, and Freshwater Shrimp, Squid, Octopus, Cuttlefish, and Value-Added Products.",http://www.kongphop.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,1,1,1,1,1,0.37613217978125724,2,18,"Black Tiger Shrimp, Cichlidae, Clam, Crab, Mussel, Octopodidae, Octopus, Penaeus Monodon, Pink Shrimp, Scallop, Seabass, Shellfish, Shrimp, Squid, Tilapia, Vannamei Shrimp","Asia, Australia, Europe, North America, Russia, South America, South Africa; Thailand",,
KYOKUYO CO LTD,ID_123,Japan,Integrated,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Kyokuyo Co. Ltd. is involved in the distribution of seafood and salted fish, and the production of canned and frozen seafood products.",http://www.kyokuyo.co.jp,Planet Tracker found species disclosure for part of the seafood portfolio of this company,1806.055223,223.2349353,3.366539023,10.9808818,1,2,2,1,2,2,0.4781068569545934,3,12,"Bluefin Tuna, Crab, Finfish, Mackerel, Pectinidae, Salmon, Shellfish, Skipjack, Skipjack Tuna, Thunnus Thynnus",Canada; Japan; North America,705.3922555931355,5.649821123310899
LABEYRIE FINE FOODS,ID_124,France,Processing,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Labeyrie Fine Foods, a French company founded in 1946, specializes in a wide range of premium seafood, fresh appetizers, and regional specialty foods, marketed under brands including Labeyrie, Blini, and Delpierre.",https://www.labeyrie-fine-foods.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,2,2,3,1,2,3,0.5318151307860656,10,18,"Cinnabar Goatfish, Cod, Crustacean, Fish, Herring, Mackerel, Oncorhynchus Mykiss, Penaeidae, Prawn, Salmo Salar, Salmon, Sardines, Sea Bass, Shellfish, Shrimp, Trout","Alaska (Usa); Belgium; Canada; France; Netherlands; Saint-Aignan-Grandlieu, France; Spain; United Kingdom; United Kingdom (Scotland); Warminster, United Kingdom",,-0.06933621461157313
LEROY SEAFOOD,ID_125,Norway,Aquaculture,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Lerøy Seafood Group specializes in the production, processing, marketing, sales, and distribution of salmon, trout, and wild-caught whitefish.",https://www.leroyseafood.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,2893.78295,1140.928834,8.778356026,13.80336875,2,3,3,2,2,3,0.676547958171481,17,16,"Anarhichas Minor, Atlantic Cod, Cleaner Fish, Gadus Morhua, Melanogrammus Aeglefinus, Oncorhynchus Mykiss, Pelagic Fish, Pollachius Virens, Redfish, Reinhardtius Hippoglossoides, Salmo Salar, Salmon, Shellfish, Trout, Whitefish","Denmark; Finland; France; Global Markets; Italy; Lerøy Aurora; Lerøy Midt; Lerøy Sjøtroll; Netherlands; Norway; Portugal; Spain; Spain, France, Netherlands, Italy, Sweden, Denmark, Finland, Portugal, Turkey, Uk; Sweden; Turkey; United Kingdom; Usa, China, Japan, South Korea",3568.59207121379,2.181205411399238
LIANCHENG OVERSEAS FISHERIES,ID_126,China,Fishing,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Liancheng Overseas Fisheries is a Chinese company focused primarily on tuna longline fishing, with additional operations in aquaculture.",http://www.szlcjt.org,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,2,2,2,1,3,0.7999467560406756,13,16,"Albacore, Albacore Tuna, Big Eye Tuna, Hamachi, Lobster, Marlin, Merlin, Salmon, Shrimp, Swordfish, Thunnus, Thunnus Alalunga, Thunnus Albacares, Thunnus Obesus, Toothfish, Yellowfin Tuna",China; Cook Islands; Federal States Of Micronesia; Federated States Of Micronesia; Hong Kong; Jinjiang; Marshall Islands; Pacific Ocean; Palau; Saipan; Samoa; Shenzhen; United States (Saipan),,
LIYANG COMPANY,ID_127,China,Processing,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Liyang Company is a professional technology firm specializing in the development, production, and sale of aquatic animal health products (drugs) and shrimp seeds. The company also operates across the seafood value chain, including fishing, processing, feed production, wholesale/distribution, retail, and manufacturing of fishing and aquaculture gear.",http://www.liyang-tech.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,1,1,2,0,2,2,0.16347048663290875,6,10,"Abalone, Crab, Jellyfish, Oysters, Pearl Clams, Scallops, Sea Cucumber, Shellfish, Shrimp","Beihai, China; China (Nationwide); Wenchang, China; Yangjiang, China; Zhaoan, China; Zhuhai, China",,
SHANDONG ZHONGLU OCEANIC FISHERIES,ID_128,China,Fishing,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Shandong Zhonglu Oceanic Fisheries is a China-based company focused on marine fishing, refrigerated transport, and cold storage processing/trade. Its transportation segment handles aquatic products, meat, poultry, fruits, and vegetables.",https://www.zofco.cn/en/index.html,Planet Tracker found species disclosure for part of the seafood portfolio of this company,,,,,2,1,2,1,1,1,0.4435982663119864,4,16,"Albacore, Albacore Tuna, Bigeye Tuna, Black Cod, Bluefin Tuna, Catfish, Crab, Halibut, Octopodidae, Octopus, Prawn, Shrimp, Squid, Thunnus, Yellow Croaker, Yellowfin Tuna",Atlantic Ocean; China; Ghana; Indian Ocean,,
MARINE FARM,ID_129,Chile,Aquaculture,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Marine Farm (Granja Marina Tornagaleones S.A) is a Chilean salmon and trout farming and processing company, vertically integrated “from egg to plate” with hatcheries, sea‑cage sites and two processing plants (>100 tonnes/day), supplying global salmon markets.",https://www.marinefarmintl.com,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,,,,,2,2,2,0,1,1,0.7937898808878833,4,8,"Bronzini, Grouper Fish, Mahi Mahi, Oncorhynchus Kisutch, Salmo Salar, Snapper, Sword, Tuna","Chile; Los Lagos Region (X) & Aysén Region (Xi), Chile; Us; Usa",,
AUSTRAL FISHERIES,ID_13,Australia,Fishing,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Austral Fisheries is a leading Australian commercial fishing company specializing in wild-caught seafood, with a primary focus on toothfish, prawns, and other marine species.",https://www.australfisheries.com.au,Planet Tracker found full species disclosure for the entire seafood portfolio of this company,,,,,3,3,3,2,3,3,0.883701307003673,1,9,"Banana Prawn, Endeavour Prawn, Goldband Snapper, Mackerel Icefish, Mixed Cod, Red Emperor, Saddletail Snapper, Tiger Prawn, Toothfish",Australia,,-0.3339591875177471
MARR SPA,ID_130,Italy,Processing,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"MARR is an Italian food distribution company supplying a wide assortment of products, including seafood, baked goods, meat, and equipment, to the foodservice sector.",https://www.marr.it,Planet Tracker found species disclosure for part of the seafood portfolio of this company,2198.664102,,3.25929413,12.31412758,1,1,2,1,2,2,0.5087982573348694,5,12,"Crab, Fish, Lobster, Octopodidae, Octopus, Oncorhynchus Keta, Prawn, Scampi, Shell Fish, Shrimp, Squid/Calamari",Argentina; India; Italy; Mexico; Usa (Alaska),,2.5752851619859243
MARUBENI,ID_131,Japan,Wholesale/Distribution,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"Marubeni is a Japanese conglomerate with diverse operations, including a seafood segment within its Food division. Other business areas include lifestyle, IT solutions, and agri business.",marubeni.com,Planet Tracker found species disclosure for part of the seafood portfolio of this company,50141.07497,26085.87931,3.811053415,14.99721933,1,2,3,1,2,2,0.3292660187614264,5,18,"Anchovy, Black Cod, Mackerel, Octopodidae, Octopus, Ostreidae, Penaeidae, Salmo Salar, Salmon, Shellfish, Shrimp, Squid, Trout, Yellowtail",Asia; Denmark; Japan; South America; Usa,44296.5693917671,4.5702225988437535
MARUDAI FOOD,ID_132,Japan,Processing,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"Marudai Food is a Japanese food distributor with two main business segments: processed foods (including ham, sausage, and cooked items) and meat products.",marudai.jp,Planet Tracker did not find sufficient species disclosure for the seafood portfolio of this company,1579.639009,160.149932,1.362714603,-14.09454638,1,1,1,1,1,1,,1,0,,Japan,353.55237678943257,1.1224362931087528
